Strategy,Category,Moneyness,Expiry,Total_Costs_EUR,Final_PnL_EUR,PnL_Volatility,Num_Trades,Trade_Freq_Pct,Delta_Tracking_Error,Ticks
Custom_Adaptive,Breve_Termine,ATM,2024-11-15,11.055224870995911,10.390770285706367,0.5436077635926772,5,0.1953125,0.20950628931707124,2560
Whalley,Breve_Termine,ATM,2024-11-15,17.774047289216693,-0.8956142159024694,0.37530129130673073,200,7.8125,0.028975957824725555,2560
Custom_Adaptive,Breve_Termine,ATM,2024-11-29,16.1558037563691,7.890164941949706,0.31078591480749573,14,0.18229166666666666,0.09645603963818489,7680
Whalley,Breve_Termine,ATM,2024-11-29,28.200573528679346,-33.096504570407205,0.2091014029609019,576,7.5,0.024164576055133467,7680
Custom_Adaptive,Breve_Termine,ATM,2024-12-20,25.04157090477146,-20.031827389809678,0.37053959420424937,26,0.17510775862068967,0.06144807864663179,14848
Whalley,Breve_Termine,ATM,2024-12-20,32.71315457756228,-45.019109566222596,0.31549735051825734,825,5.556303879310344,0.020238065431484244,14848
Custom_Adaptive,Breve_Termine,ATM,2024-12-30,24.730653422807045,-26.972160531704958,0.252637522302366,25,0.1808449074074074,0.04158057300703195,13824
Whalley,Breve_Termine,ATM,2024-12-30,28.515057022954316,-35.13366996635705,0.21134839775992711,614,4.441550925925926,0.021425214930541087,13824
Custom_Adaptive,Breve_Termine,ATM,2025-01-17,31.93974380838707,-17.769467159636406,0.3874511233406989,42,0.17832880434782608,0.048696526236583645,23552
Whalley,Breve_Termine,ATM,2025-01-17,37.44230048296307,-40.734602193878345,0.3678198251793143,1407,5.974014945652174,0.019489596741056367,23552
Custom_Adaptive,Breve_Termine,ATM,2025-01-31,13.84855800772466,5.22836787176449,0.34981504547773873,20,0.1953125,0.02987639502952451,10240
Whalley,Breve_Termine,ATM,2025-01-31,16.176461613610577,-1.5813977603811367,0.2908829217402563,592,5.78125,0.01623831276262268,10240
Custom_Adaptive,Breve_Termine,ITM,2024-11-15,11.472583351680505,17.328293783283698,0.5076826462306934,5,0.1953125,0.19031853447846897,2560
Whalley,Breve_Termine,ITM,2024-11-15,11.643982871247132,7.75465889681891,0.32131128933693154,131,5.1171875,0.011242977691245095,2560
Custom_Adaptive,Breve_Termine,ITM,2024-11-29,15.67790457522548,19.158024761505203,0.3522667380992384,14,0.18229166666666666,0.09057651201300568,7680
Whalley,Breve_Termine,ITM,2024-11-29,21.63757971234254,-10.847256239310354,0.25285823493575543,515,6.705729166666667,0.018000700371958323,7680
Custom_Adaptive,Breve_Termine,ITM,2024-12-20,21.02049395845982,0.06825928597891107,0.399645048220487,26,0.17510775862068967,0.051274026103347616,14848
Whalley,Breve_Termine,ITM,2024-12-20,24.386416530532276,-21.872188594963973,0.3780776271317321,731,4.923221982758621,0.01334911318827557,14848
Custom_Adaptive,Breve_Termine,ITM,2024-12-30,18.529329521921063,-23.19221367827504,0.19671812278799325,20,0.14467592592592593,0.020740540961803004,13824
Whalley,Breve_Termine,ITM,2024-12-30,20.704829866888797,-31.083077455004513,0.2089956579281545,608,4.398148148148148,0.012766552774872828,13824
Custom_Adaptive,Breve_Termine,ITM,2025-01-17,23.58707549157591,8.573306226764089,0.3759719683145466,44,0.18682065217391305,0.03522325751444042,23552
